date,cases,prec,tmin,tmax,rh,tmean,dewmean,sst
2016-06-12,754.0,33.6583,13.6523,24.8602,75.47008071079092,18.1928,13.780885714285715,18.174842857142856
2016-06-19,861.0,13.507200000000001,12.0766,24.2761,72.57985327022796,17.7374,12.744942857142858,18.564957142857143
2016-06-26,809.0,24.8509,12.5738,23.7703,72.54134878131246,17.74772857142857,12.741514285714286,17.81822857142857
2016-07-03,399.0,24.4799,12.2871,23.9434,75.87321224740278,17.707457142857145,13.378957142857143,17.492771428571427
2016-07-10,373.0,20.3279,13.0599,24.2108,76.5713586281172,17.9518,13.761871428571428,17.7857
2016-07-17,347.0,14.825099999999999,13.3036,24.7929,73.53685546334053,18.547228571428573,13.724385714285715,17.858842857142857
2016-07-24,263.0,11.8299,12.7692,24.7493,70.14508422187002,18.091314285714287,12.559457142857143,18.0478
2016-07-31,60.0,15.4673,13.141,24.7008,69.33838943482776,18.435914285714286,12.716857142857142,17.8842
2016-08-07,190.0,11.5302,12.8705,25.8611,68.00539685626951,18.898685714285712,12.860971428571428,17.875114285714286
2016-08-14,131.0,25.1557,12.8316,25.4517,72.84866336459244,18.426099999999998,13.455457142857142,17.937485714285714
2016-08-21,108.0,19.325699999999998,14.0056,26.0636,70.26938670857912,19.131128571428572,13.579557142857142,17.8125
2016-08-28,116.0,15.8277,12.4589,25.5153,72.2498996579083,18.585414285714283,13.489257142857143,17.756185714285714
2016-09-04,204.0,36.5407,13.4098,25.9106,70.60930530353572,18.21495714285714,12.778185714285714,17.553314285714286
2016-09-11,76.0,15.8526,12.7789,26.0336,68.25643705973455,18.596014285714286,12.627114285714285,17.6062
2016-09-18,58.0,23.3501,13.9779,27.2993,69.70373396476263,19.52854285714286,13.818228571428572,17.724371428571427
2016-09-25,292.0,39.4067,13.8745,25.0243,76.68168995841067,18.56544285714286,14.38107142857143,17.850085714285715
2016-10-02,43.0,42.6519,14.6804,26.681,77.15902695144072,19.30102857142857,15.188614285714285,18.03102857142857
2016-10-09,162.0,39.8309,14.3347,25.4574,76.08606705163493,19.04838571428571,14.72632857142857,18.1338
2016-10-16,496.0,42.1622,15.0295,25.7546,77.76132599553809,19.258914285714287,15.269342857142858,18.549057142857144
2016-10-23,210.0,30.0946,14.978,26.2242,75.22507565829324,19.624,15.114785714285714,17.893514285714286
2016-10-30,169.0,43.0532,14.035,25.7738,74.64483060734231,19.08597142857143,14.469771428571429,18.250385714285716
2016-11-06,408.0,39.2456,14.1347,26.4805,74.28308959445738,19.3688,14.658814285714286,18.503899999999998
2016-11-13,296.0,35.8623,15.1416,26.746,74.74023048949947,20.017485714285716,15.384185714285715,19.401971428571425
2016-11-20,234.0,26.5701,13.6895,26.9051,70.53236973909705,19.706814285714284,14.180928571428572,19.366014285714282
2016-11-27,352.0,37.1148,14.0929,26.3164,73.1009762233917,19.620957142857144,14.655928571428571,18.6675
2016-12-04,146.0,48.6302,15.3269,25.4857,78.84839490275314,19.389171428571427,15.619014285714286,18.919785714285716
2016-12-11,440.0,54.407599999999995,15.3433,25.4799,80.21769558754401,19.117514285714286,15.62192857142857,18.823857142857143
2016-12-18,218.0,52.0671,15.1298,25.4146,79.73199406542017,19.40332857142857,15.796742857142858,19.159985714285714
2016-12-25,267.0,47.9706,15.8851,25.6377,80.49475615488339,19.735714285714288,16.278214285714288,19.969785714285713
2017-01-01,0.0,100.6957,15.7846,24.6501,84.52251031007336,19.2290375,16.5507375,20.245525
2017-01-08,199.0,86.82900000000001,15.8617,24.5484,86.1111405764908,18.955342857142856,16.576428571428572,20.345757142857142
